#,_id,last_scraped_date,symbol,valid
1,6735ea2f285bedc0955a4a78,11/14/2024,ADIN,true
2,6735ea2f285bedc0955a4a79,11/14/2024,ALK,true
3,6735ea2f285bedc0955a4a7a,11/14/2024,ALKB,true
4,6735ea2f285bedc0955a4a7b,11/14/2024,AMBR,true
5,6735ea2f285bedc0955a4a7c,11/14/2024,AMEH,true
6,6735ea2f285bedc0955a4a7d,11/14/2024,APTK,true
7,6735ea2f285bedc0955a4a7e,11/14/2024,ATPP,true
8,6735ea2f285bedc0955a4a7f,11/14/2024,AUMK,true
9,6735ea2f285bedc0955a4a80,11/14/2024,BANA,true
10,6735ea2f285bedc0955a4a81,11/14/2024,BGOR,true
11,6735ea2f285bedc0955a4a82,11/14/2024,BIKF,true
12,6735ea2f285bedc0955a4a83,11/14/2024,BIM,true
13,6735ea2f285bedc0955a4a84,11/14/2024,BLTU,true
14,6735ea2f285bedc0955a4a85,11/14/2024,CBNG,true
15,6735ea2f285bedc0955a4a86,11/14/2024,CDHV,true
16,6735ea2f285bedc0955a4a87,11/14/2024,CEVI,true
17,6735ea2f285bedc0955a4a88,,CKB,false
18,6735ea2f285bedc0955a4a89,11/14/2024,CKBKO,true
19,6735ea2f285bedc0955a4a8a,11/14/2024,DEBA,true
20,6735ea2f285bedc0955a4a8b,11/14/2024,DIMI,true
21,6735ea2f285bedc0955a4a8c,11/14/2024,EDST,true
22,6735ea2f285bedc0955a4a8d,11/14/2024,ELMA,true
23,6735ea2f285bedc0955a4a8e,11/14/2024,ELNC,true
24,6735ea2f285bedc0955a4a8f,11/14/2024,ENER,true
25,6735ea2f285bedc0955a4a90,11/14/2024,ENSA,true
26,6735ea2f285bedc0955a4a91,11/14/2024,EUHA,true
27,6735ea2f285bedc0955a4a92,11/14/2024,EUMK,true
28,6735ea2f285bedc0955a4a93,11/14/2024,EVRO,true
29,6735ea2f285bedc0955a4a94,11/14/2024,FAKM,true
30,6735ea2f285bedc0955a4a95,11/14/2024,FERS,true
31,6735ea2f285bedc0955a4a96,11/14/2024,FKTL,true
32,6735ea2f285bedc0955a4a97,11/14/2024,FROT,true
33,6735ea2f285bedc0955a4a98,11/14/2024,FUBT,true
34,6735ea2f285bedc0955a4a99,,G141125,false
35,6735ea2f285bedc0955a4a9a,,G200725,false
36,6735ea2f285bedc0955a4a9b,11/14/2024,GALE,true
37,6735ea2f285bedc0955a4a9c,11/14/2024,GDKM,true
38,6735ea2f285bedc0955a4a9d,11/14/2024,GECK,true
39,6735ea2f285bedc0955a4a9e,11/14/2024,GECT,true
40,6735ea2f285bedc0955a4a9f,11/14/2024,GIMS,true
41,6735ea2f285bedc0955a4aa0,11/14/2024,GRDN,true
42,6735ea2f285bedc0955a4aa1,11/14/2024,GRNT,true
43,6735ea2f285bedc0955a4aa2,11/14/2024,GRSN,true
44,6735ea2f285bedc0955a4aa3,11/14/2024,GRZD,true
45,6735ea2f285bedc0955a4aa4,11/14/2024,GTC,true
46,6735ea2f285bedc0955a4aa5,11/14/2024,GTRG,true
47,6735ea2f285bedc0955a4aa6,11/14/2024,IJUG,true
48,6735ea2f285bedc0955a4aa7,11/14/2024,INB,true
49,6735ea2f285bedc0955a4aa8,11/14/2024,INHO,true
50,6735ea2f285bedc0955a4aa9,11/14/2024,INOV,true
51,6735ea2f285bedc0955a4aaa,11/14/2024,INPR,true
52,6735ea2f285bedc0955a4aab,11/14/2024,INTP,true
53,6735ea2f285bedc0955a4aac,11/14/2024,JAKO,true
54,6735ea2f285bedc0955a4aad,11/14/2024,JUSK,true
55,6735ea2f285bedc0955a4aae,11/14/2024,KARO,true
56,6735ea2f285bedc0955a4aaf,11/14/2024,KDFO,true
57,6735ea2f285bedc0955a4ab0,11/14/2024,KJUBI,true
58,6735ea2f285bedc0955a4ab1,11/14/2024,KKST,true
59,6735ea2f285bedc0955a4ab2,11/14/2024,KLST,true
60,6735ea2f285bedc0955a4ab3,11/14/2024,KMB,true
61,6735ea2f285bedc0955a4ab4,11/14/2024,KMPR,true
62,6735ea2f285bedc0955a4ab5,11/14/2024,KOMU,true
63,6735ea2f285bedc0955a4ab6,11/14/2024,KONF,true
64,6735ea2f285bedc0955a4ab7,11/14/2024,KONZ,true
65,6735ea2f285bedc0955a4ab8,11/14/2024,KORZ,true
66,6735ea2f285bedc0955a4ab9,11/14/2024,KPSS,true
